Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
8.4%,93.1,114.0,65.0,127.4,213.8,2.3,5%,91%,3%,33%,23%,15%,14%,15%
8.1%,74.3,91.9,56.6,101.3,183.0,2.5,3%,94%,3%,28%,28%,13%,14%,17%
8.1%,112.5,160.7,92.1,161.4,252.0,2.2,4%,92%,3%,31%,24%,17%,14%,15%
8.0%,149.0,189.7,87.5,211.7,295.9,2.0,4%,93%,3%,30%,27%,16%,13%,13%
8.0%,106.6,126.6,69.6,136.1,234.3,2.2,3%,93%,4%,30%,19%,14%,16%,21%
8.0%,157.6,199.4,92.1,190.1,307.4,1.9,8%,81%,12%,31%,27%,16%,12%,14%
7.9%,83.5,102.9,62.4,114.8,198.4,2.4,5%,91%,5%,37%,22%,16%,12%,14%
7.9%,147.6,216.7,105.4,205.3,301.9,2.0,3%,94%,4%,31%,25%,17%,15%,13%
7.9%,150.0,194.1,91.9,184.8,296.7,2.0,2%,93%,6%,26%,24%,16%,15%,19%
7.8%,163.1,205.7,97.8,224.3,321.3,2.0,8%,87%,5%,29%,26%,16%,15%,15%
7.7%,140.1,176.0,84.9,206.4,284.1,2.0,5%,91%,4%,36%,27%,15%,12%,10%
7.6%,208.4,301.9,110.0,288.0,373.4,1.8,0%,93%,7%,34%,22%,14%,14%,15%
7.6%,168.4,252.3,112.7,232.9,328.9,2.0,3%,95%,3%,32%,24%,15%,14%,15%
7.5%,112.8,139.8,75.3,156.4,244.4,2.2,5%,91%,4%,33%,27%,15%,14%,11%
7.4%,63.6,76.4,53.8,89.7,165.5,2.6,5%,90%,5%,33%,21%,16%,14%,15%
7.2%,131.6,166.7,83.3,196.6,272.3,2.1,8%,90%,3%,36%,28%,17%,12%,8%
7.2%,125.1,155.6,79.4,180.7,262.8,2.1,3%,93%,4%,33%,27%,18%,12%,10%
7.0%,125.1,185.0,97.5,178.9,271.3,2.2,3%,94%,4%,34%,26%,17%,14%,9%
7.0%,242.5,388.2,128.2,356.8,420.5,1.7,8%,88%,4%,36%,26%,14%,14%,11%
7.0%,147.3,226.2,110.4,212.2,303.0,2.1,2%,95%,3%,34%,26%,17%,14%,9%
7.0%,115.4,153.6,91.2,169.3,255.7,2.2,7%,90%,4%,33%,24%,18%,14%,11%
7.0%,148.5,189.5,94.8,214.0,304.0,2.0,2%,93%,5%,33%,25%,16%,15%,11%
7.0%,109.1,145.2,91.6,159.8,247.5,2.3,4%,92%,5%,33%,25%,17%,12%,13%
6.9%,101.2,128.8,73.5,119.8,225.9,2.2,8%,87%,5%,30%,20%,15%,13%,22%
6.9%,150.5,193.0,94.2,216.8,305.0,2.0,4%,92%,4%,32%,27%,16%,13%,11%
6.8%,166.9,221.7,96.4,211.8,319.0,1.9,15%,83%,2%,31%,24%,19%,12%,13%
6.8%,127.5,187.6,98.4,183.1,275.0,2.2,6%,90%,3%,35%,26%,17%,13%,8%
6.7%,86.1,124.1,74.7,122.9,209.6,2.4,3%,91%,5%,42%,22%,14%,12%,10%
6.6%,155.2,188.9,107.3,213.9,312.2,2.0,5%,90%,4%,29%,22%,16%,15%,17%
6.5%,87.1,106.2,65.4,122.1,205.3,2.4,3%,93%,4%,36%,25%,16%,14%,9%
6.5%,142.7,191.7,86.9,180.9,286.1,2.0,7%,89%,4%,33%,28%,17%,13%,9%
6.5%,242.1,385.0,128.5,361.1,420.7,1.7,7%,89%,4%,35%,25%,16%,15%,9%
6.5%,91.6,119.5,70.0,123.3,213.4,2.3,9%,86%,4%,36%,25%,15%,12%,11%
6.4%,128.8,155.8,85.0,170.5,273.5,2.1,6%,90%,5%,33%,24%,15%,15%,14%
6.4%,241.4,359.0,120.0,349.8,413.2,1.7,1%,94%,5%,32%,20%,15%,15%,19%
6.4%,89.9,109.9,68.3,128.2,208.6,2.3,5%,90%,4%,38%,24%,16%,13%,9%
6.4%,182.4,245.9,103.1,228.4,339.1,1.9,4%,92%,4%,32%,22%,15%,14%,17%
6.3%,194.7,247.2,109.3,284.7,362.0,1.9,6%,91%,3%,26%,25%,16%,16%,18%
6.3%,190.7,257.6,106.1,253.0,349.8,1.8,6%,88%,6%,36%,24%,15%,13%,12%
6.3%,166.9,209.3,105.0,206.0,325.2,1.9,5%,89%,6%,29%,23%,16%,15%,17%
6.3%,105.2,140.5,84.0,136.7,238.6,2.3,5%,91%,4%,29%,21%,15%,14%,20%
6.2%,106.5,131.8,89.0,145.6,239.1,2.2,6%,89%,5%,34%,22%,15%,13%,17%
